dataset,article,strategy,classification,refusal_subtype,char_len
allsides,allsides_immigration_c_1,cot_fewshot_mft,ok,,3810
allsides,allsides_immigration_c_1,cot_fewshot,ok,,3089
allsides,allsides_immigration_c_1,cot,ok,,3298
allsides,allsides_immigration_c_1,oracle,ok,,2893
allsides,allsides_immigration_c_1,simple_fewshot_mft,ok,,3283
allsides,allsides_immigration_c_1,simple_fewshot,ok,,1849
allsides,allsides_immigration_c_1,simple,ok,,3165
allsides,allsides_immigration_c_1,vanilla,ok,,4672
allsides,allsides_immigration_c_3,cot_fewshot_mft,no_summary,,5261
allsides,allsides_immigration_c_3,cot_fewshot,no_summary,,3523
allsides,allsides_immigration_c_3,cot,no_summary,,11536
allsides,allsides_immigration_c_3,oracle,ok,,2567
allsides,allsides_immigration_c_3,simple_fewshot_mft,no_summary,,3053
allsides,allsides_immigration_c_3,simple_fewshot,no_summary,,2132
allsides,allsides_immigration_c_3,simple,no_summary,,2808
allsides,allsides_immigration_c_3,vanilla,ok,,2165
allsides,allsides_immigration_l_1,cot_fewshot_mft,ok,,3187
allsides,allsides_immigration_l_1,cot_fewshot,no_summary,,3907
allsides,allsides_immigration_l_1,cot,ok,,3461
allsides,allsides_immigration_l_1,oracle,ok,,4137
allsides,allsides_immigration_l_1,simple_fewshot_mft,ok,,2802
allsides,allsides_immigration_l_1,simple_fewshot,ok,,2093
allsides,allsides_immigration_l_1,simple,ok,,3455
allsides,allsides_immigration_l_1,vanilla,ok,,2500
allsides,allsides_immigration_l_2,cot_fewshot_mft,ok,,4096
allsides,allsides_immigration_l_2,cot_fewshot,ok,,3339
allsides,allsides_immigration_l_2,cot,ok,,2988
allsides,allsides_immigration_l_2,oracle,ok,,3017
allsides,allsides_immigration_l_2,simple_fewshot_mft,ok,,4444
allsides,allsides_immigration_l_2,simple_fewshot,ok,,3107
allsides,allsides_immigration_l_2,simple,ok,,3809
allsides,allsides_immigration_l_2,vanilla,ok,,2571
allsides,allsides_immigration_l_3,cot_fewshot_mft,ok,,2596
allsides,allsides_immigration_l_3,cot_fewshot,ok,,3487
allsides,allsides_immigration_l_3,cot,ok,,3550
allsides,allsides_immigration_l_3,oracle,ok,,2517
allsides,allsides_immigration_l_3,simple_fewshot_mft,ok,,3176
allsides,allsides_immigration_l_3,simple_fewshot,ok,,3140
allsides,allsides_immigration_l_3,simple,ok,,2842
allsides,allsides_immigration_l_3,vanilla,ok,,2486
allsides,allsides_lgbt_rights_c_1,cot_fewshot_mft,ok,,3905
allsides,allsides_lgbt_rights_c_1,cot_fewshot,ok,,2698
allsides,allsides_lgbt_rights_c_1,cot,no_summary,,9802
allsides,allsides_lgbt_rights_c_1,oracle,ok,,2712
allsides,allsides_lgbt_rights_c_1,simple_fewshot_mft,ok,,4127
allsides,allsides_lgbt_rights_c_1,simple_fewshot,ok,,3544
allsides,allsides_lgbt_rights_c_1,simple,ok,,2829
allsides,allsides_lgbt_rights_c_1,vanilla,ok,,2842
allsides,allsides_lgbt_rights_c_2,cot_fewshot_mft,ok,,3412
allsides,allsides_lgbt_rights_c_2,cot_fewshot,ok,,5862
allsides,allsides_lgbt_rights_c_2,cot,no_summary,,10599
allsides,allsides_lgbt_rights_c_2,oracle,ok,,2845
allsides,allsides_lgbt_rights_c_2,simple_fewshot_mft,no_summary,,3082
allsides,allsides_lgbt_rights_c_2,simple_fewshot,ok,,2721
allsides,allsides_lgbt_rights_c_2,simple,ok,,2796
allsides,allsides_lgbt_rights_c_2,vanilla,ok,,2090
allsides,allsides_lgbt_rights_c_5,cot_fewshot_mft,no_summary,,2650
allsides,allsides_lgbt_rights_c_5,cot_fewshot,ok,,2726
allsides,allsides_lgbt_rights_c_5,cot,no_summary,,18105
allsides,allsides_lgbt_rights_c_5,oracle,ok,,2483
allsides,allsides_lgbt_rights_c_5,simple_fewshot_mft,ok,,2735
allsides,allsides_lgbt_rights_c_5,simple_fewshot,ok,,2151
allsides,allsides_lgbt_rights_c_5,simple,ok,,3288
allsides,allsides_lgbt_rights_c_5,vanilla,ok,,4544
allsides,allsides_lgbt_rights_l_5,cot_fewshot_mft,ok,,2525
allsides,allsides_lgbt_rights_l_5,cot_fewshot,ok,,2446
allsides,allsides_lgbt_rights_l_5,cot,ok,,3485
allsides,allsides_lgbt_rights_l_5,oracle,ok,,2600
allsides,allsides_lgbt_rights_l_5,simple_fewshot_mft,ok,,3644
allsides,allsides_lgbt_rights_l_5,simple_fewshot,ok,,2272
allsides,allsides_lgbt_rights_l_5,simple,ok,,2652
allsides,allsides_lgbt_rights_l_5,vanilla,ok,,2518
allsides,allsides_lgbt_rights_r_1,cot_fewshot_mft,no_summary,,14301
allsides,allsides_lgbt_rights_r_1,cot_fewshot,no_summary,,4600
allsides,allsides_lgbt_rights_r_1,cot,ok,,3278
allsides,allsides_lgbt_rights_r_1,oracle,ok,,2635
allsides,allsides_lgbt_rights_r_1,simple_fewshot_mft,ok,,3181
allsides,allsides_lgbt_rights_r_1,simple_fewshot,ok,,3692
allsides,allsides_lgbt_rights_r_1,simple,ok,,2329
allsides,allsides_lgbt_rights_r_1,vanilla,ok,,2880
allsides,allsides_lgbt_rights_r_2,cot_fewshot_mft,ok,,3446
allsides,allsides_lgbt_rights_r_2,cot_fewshot,no_summary,,2508
allsides,allsides_lgbt_rights_r_2,cot,ok,,2649
allsides,allsides_lgbt_rights_r_2,oracle,ok,,2648
allsides,allsides_lgbt_rights_r_2,simple_fewshot_mft,ok,,3174
allsides,allsides_lgbt_rights_r_2,simple_fewshot,ok,,1991
allsides,allsides_lgbt_rights_r_2,simple,ok,,2539
allsides,allsides_lgbt_rights_r_2,vanilla,ok,,2705
allsides,allsides_lgbt_rights_r_5,cot_fewshot_mft,ok,,3277
allsides,allsides_lgbt_rights_r_5,cot_fewshot,no_summary,,14207
allsides,allsides_lgbt_rights_r_5,cot,ok,,2853
allsides,allsides_lgbt_rights_r_5,oracle,ok,,2979
allsides,allsides_lgbt_rights_r_5,simple_fewshot_mft,ok,,3197
allsides,allsides_lgbt_rights_r_5,simple_fewshot,ok,,3178
allsides,allsides_lgbt_rights_r_5,simple,ok,,3243
allsides,allsides_lgbt_rights_r_5,vanilla,ok,,2182
allsides,allsides_politics_c_2,cot_fewshot_mft,no_summary,,10822
allsides,allsides_politics_c_2,cot_fewshot,no_summary,,3861
allsides,allsides_politics_c_2,cot,ok,,2830
allsides,allsides_politics_c_2,oracle,ok,,3289
allsides,allsides_politics_c_2,simple_fewshot_mft,ok,,3144
allsides,allsides_politics_c_2,simple_fewshot,ok,,3424
allsides,allsides_politics_c_2,simple,ok,,2428
allsides,allsides_politics_c_2,vanilla,ok,,3012
allsides,allsides_politics_l_1,cot_fewshot_mft,no_summary,,3773
allsides,allsides_politics_l_1,cot_fewshot,no_summary,,4631
allsides,allsides_politics_l_1,cot,ok,,3386
allsides,allsides_politics_l_1,oracle,ok,,3473
allsides,allsides_politics_l_1,simple_fewshot_mft,ok,,2078
allsides,allsides_politics_l_1,simple_fewshot,ok,,2323
allsides,allsides_politics_l_1,simple,ok,,3537
allsides,allsides_politics_l_1,vanilla,ok,,2246
allsides,allsides_politics_r_1,cot_fewshot_mft,no_summary,,3930
allsides,allsides_politics_r_1,cot_fewshot,ok,,2674
allsides,allsides_politics_r_1,cot,ok,,3715
allsides,allsides_politics_r_1,oracle,ok,,2561
allsides,allsides_politics_r_1,simple_fewshot_mft,ok,,5068
allsides,allsides_politics_r_1,simple_fewshot,ok,,2651
allsides,allsides_politics_r_1,simple,ok,,3026
allsides,allsides_politics_r_1,vanilla,ok,,2312
allsides,allsides_politics_r_5,cot_fewshot_mft,ok,,3142
allsides,allsides_politics_r_5,cot_fewshot,no_summary,,4122
allsides,allsides_politics_r_5,cot,ok,,2703
allsides,allsides_politics_r_5,oracle,ok,,2972
allsides,allsides_politics_r_5,simple_fewshot_mft,no_summary,,3022
allsides,allsides_politics_r_5,simple_fewshot,ok,,2276
allsides,allsides_politics_r_5,simple,ok,,1821
allsides,allsides_politics_r_5,vanilla,ok,,2546
allsides,allsides_race_and_racism_c_1,cot_fewshot_mft,ok,,3251
allsides,allsides_race_and_racism_c_1,cot_fewshot,ok,,3396
allsides,allsides_race_and_racism_c_1,cot,no_summary,,13101
allsides,allsides_race_and_racism_c_1,oracle,ok,,2769
allsides,allsides_race_and_racism_c_1,simple_fewshot_mft,ok,,2943
allsides,allsides_race_and_racism_c_1,simple_fewshot,ok,,2682
allsides,allsides_race_and_racism_c_1,simple,ok,,2561
allsides,allsides_race_and_racism_c_1,vanilla,ok,,2351
allsides,allsides_race_and_racism_c_4,cot_fewshot_mft,no_summary,,14561
allsides,allsides_race_and_racism_c_4,cot_fewshot,ok,,3616
allsides,allsides_race_and_racism_c_4,cot,ok,,3322
allsides,allsides_race_and_racism_c_4,oracle,ok,,3207
allsides,allsides_race_and_racism_c_4,simple_fewshot_mft,ok,,3485
allsides,allsides_race_and_racism_c_4,simple_fewshot,ok,,2790
allsides,allsides_race_and_racism_c_4,simple,ok,,2650
allsides,allsides_race_and_racism_c_4,vanilla,ok,,2227
allsides,allsides_race_and_racism_l_1,cot_fewshot_mft,no_summary,,11397
allsides,allsides_race_and_racism_l_1,cot_fewshot,ok,,3116
allsides,allsides_race_and_racism_l_1,cot,ok,,3570
allsides,allsides_race_and_racism_l_1,oracle,ok,,3202
allsides,allsides_race_and_racism_l_1,simple_fewshot_mft,ok,,3168
allsides,allsides_race_and_racism_l_1,simple_fewshot,no_summary,,3474
allsides,allsides_race_and_racism_l_1,simple,ok,,2437
allsides,allsides_race_and_racism_l_1,vanilla,ok,,3026
allsides,allsides_race_and_racism_l_2,cot_fewshot_mft,ok,,3212
allsides,allsides_race_and_racism_l_2,cot_fewshot,ok,,4626
allsides,allsides_race_and_racism_l_2,cot,no_summary,,14581
allsides,allsides_race_and_racism_l_2,oracle,ok,,2596
allsides,allsides_race_and_racism_l_2,simple_fewshot_mft,ok,,2069
allsides,allsides_race_and_racism_l_2,simple_fewshot,ok,,2642
allsides,allsides_race_and_racism_l_2,simple,ok,,3463
allsides,allsides_race_and_racism_l_2,vanilla,ok,,3340
allsides,allsides_race_and_racism_r_5,cot_fewshot_mft,ok,,5787
allsides,allsides_race_and_racism_r_5,cot_fewshot,no_summary,,3029
allsides,allsides_race_and_racism_r_5,cot,ok,,3508
allsides,allsides_race_and_racism_r_5,oracle,ok,,2395
allsides,allsides_race_and_racism_r_5,simple_fewshot_mft,ok,,2821
allsides,allsides_race_and_racism_r_5,simple_fewshot,ok,,2828
allsides,allsides_race_and_racism_r_5,simple,ok,,3125
allsides,allsides_race_and_racism_r_5,vanilla,ok,,2525
allsides,allsides_us_house_l_5,cot_fewshot_mft,no_summary,,7090
allsides,allsides_us_house_l_5,cot_fewshot,ok,,2222
allsides,allsides_us_house_l_5,cot,ok,,3587
allsides,allsides_us_house_l_5,oracle,ok,,3051
allsides,allsides_us_house_l_5,simple_fewshot_mft,no_summary,,3490
allsides,allsides_us_house_l_5,simple_fewshot,ok,,2530
allsides,allsides_us_house_l_5,simple,ok,,3077
allsides,allsides_us_house_l_5,vanilla,ok,,2158
allsides,allsides_us_house_r_1,cot_fewshot_mft,ok,,3408
allsides,allsides_us_house_r_1,cot_fewshot,ok,,3127
allsides,allsides_us_house_r_1,cot,ok,,3053
allsides,allsides_us_house_r_1,oracle,ok,,2938
allsides,allsides_us_house_r_1,simple_fewshot_mft,ok,,3026
allsides,allsides_us_house_r_1,simple_fewshot,ok,,4253
allsides,allsides_us_house_r_1,simple,ok,,2501
allsides,allsides_us_house_r_1,vanilla,ok,,3102
allsides,allsides_us_house_r_5,cot_fewshot_mft,ok,,3680
allsides,allsides_us_house_r_5,cot_fewshot,no_summary,,2096
allsides,allsides_us_house_r_5,cot,ok,,2557
allsides,allsides_us_house_r_5,oracle,ok,,3768
allsides,allsides_us_house_r_5,simple_fewshot_mft,ok,,2867
allsides,allsides_us_house_r_5,simple_fewshot,ok,,3056
allsides,allsides_us_house_r_5,simple,ok,,2621
allsides,allsides_us_house_r_5,vanilla,ok,,3134
allsides,allsides_us_senate_c_3,cot_fewshot_mft,ok,,3084
allsides,allsides_us_senate_c_3,cot_fewshot,no_summary,,2921
allsides,allsides_us_senate_c_3,cot,ok,,3726
allsides,allsides_us_senate_c_3,oracle,ok,,2691
allsides,allsides_us_senate_c_3,simple_fewshot_mft,no_summary,,3292
allsides,allsides_us_senate_c_3,simple_fewshot,ok,,1842
allsides,allsides_us_senate_c_3,simple,ok,,2301
allsides,allsides_us_senate_c_3,vanilla,ok,,3522
allsides,allsides_us_senate_c_4,cot_fewshot_mft,no_summary,,13511
allsides,allsides_us_senate_c_4,cot_fewshot,no_summary,,2124
allsides,allsides_us_senate_c_4,cot,ok,,5066
allsides,allsides_us_senate_c_4,oracle,ok,,3166
allsides,allsides_us_senate_c_4,simple_fewshot_mft,ok,,2571
allsides,allsides_us_senate_c_4,simple_fewshot,ok,,2546
allsides,allsides_us_senate_c_4,simple,ok,,2872
allsides,allsides_us_senate_c_4,vanilla,ok,,3063
allsides,allsides_us_senate_l_3,cot_fewshot_mft,ok,,3013
allsides,allsides_us_senate_l_3,cot_fewshot,ok,,2616
allsides,allsides_us_senate_l_3,cot,ok,,3269
allsides,allsides_us_senate_l_3,oracle,ok,,2446
allsides,allsides_us_senate_l_3,simple_fewshot_mft,ok,,2886
allsides,allsides_us_senate_l_3,simple_fewshot,ok,,3172
allsides,allsides_us_senate_l_3,simple,ok,,3814
allsides,allsides_us_senate_l_3,vanilla,ok,,2284
allsides,allsides_us_senate_l_5,cot_fewshot_mft,ok,,3338
allsides,allsides_us_senate_l_5,cot_fewshot,no_summary,,14629
allsides,allsides_us_senate_l_5,cot,no_summary,,15666
allsides,allsides_us_senate_l_5,oracle,ok,,3304
allsides,allsides_us_senate_l_5,simple_fewshot_mft,ok,,3027
allsides,allsides_us_senate_l_5,simple_fewshot,ok,,3214
allsides,allsides_us_senate_l_5,simple,ok,,2710
allsides,allsides_us_senate_l_5,vanilla,ok,,3874
allsides,allsides_us_senate_r_1,cot_fewshot_mft,ok,,3158
allsides,allsides_us_senate_r_1,cot_fewshot,no_summary,,11156
allsides,allsides_us_senate_r_1,cot,ok,,3926
allsides,allsides_us_senate_r_1,oracle,no_summary,,3207
allsides,allsides_us_senate_r_1,simple_fewshot_mft,ok,,4392
allsides,allsides_us_senate_r_1,simple_fewshot,ok,,2351
allsides,allsides_us_senate_r_1,simple,ok,,2538
allsides,allsides_us_senate_r_1,vanilla,ok,,3059
allsides,allsides_us_senate_r_2,cot_fewshot_mft,ok,,3521
allsides,allsides_us_senate_r_2,cot_fewshot,ok,,9692
allsides,allsides_us_senate_r_2,cot,ok,,3186
allsides,allsides_us_senate_r_2,oracle,ok,,2842
allsides,allsides_us_senate_r_2,simple_fewshot_mft,ok,,2451
allsides,allsides_us_senate_r_2,simple_fewshot,ok,,3435
allsides,allsides_us_senate_r_2,simple,ok,,3022
allsides,allsides_us_senate_r_2,vanilla,ok,,3125
allsides,allsides_us_senate_r_3,cot_fewshot_mft,ok,,3177
allsides,allsides_us_senate_r_3,cot_fewshot,no_summary,,3195
allsides,allsides_us_senate_r_3,cot,ok,,3885
allsides,allsides_us_senate_r_3,oracle,ok,,2035
allsides,allsides_us_senate_r_3,simple_fewshot_mft,ok,,2580
allsides,allsides_us_senate_r_3,simple_fewshot,ok,,3002
allsides,allsides_us_senate_r_3,simple,ok,,2843
allsides,allsides_us_senate_r_3,vanilla,ok,,2384
allsides,allsides_us_senate_r_5,cot_fewshot_mft,no_summary,,2654
allsides,allsides_us_senate_r_5,cot_fewshot,ok,,2376
allsides,allsides_us_senate_r_5,cot,ok,,3423
allsides,allsides_us_senate_r_5,oracle,ok,,2565
allsides,allsides_us_senate_r_5,simple_fewshot_mft,ok,,2892
allsides,allsides_us_senate_r_5,simple_fewshot,ok,,3740
allsides,allsides_us_senate_r_5,simple,ok,,3354
allsides,allsides_us_senate_r_5,vanilla,ok,,3124
allsides,allsides_violence_in_america_c_2,cot_fewshot_mft,ok,,2870
allsides,allsides_violence_in_america_c_2,cot_fewshot,ok,,3613
allsides,allsides_violence_in_america_c_2,cot,ok,,3159
allsides,allsides_violence_in_america_c_2,oracle,ok,,2791
allsides,allsides_violence_in_america_c_2,simple_fewshot_mft,ok,,2393
allsides,allsides_violence_in_america_c_2,simple_fewshot,ok,,3358
allsides,allsides_violence_in_america_c_2,simple,ok,,2604
allsides,allsides_violence_in_america_c_2,vanilla,ok,,2634
allsides,allsides_violence_in_america_c_4,cot_fewshot_mft,no_summary,,13549
allsides,allsides_violence_in_america_c_4,cot_fewshot,no_summary,,3627
allsides,allsides_violence_in_america_c_4,cot,ok,,4230
allsides,allsides_violence_in_america_c_4,oracle,ok,,2833
allsides,allsides_violence_in_america_c_4,simple_fewshot_mft,ok,,3068
allsides,allsides_violence_in_america_c_4,simple_fewshot,ok,,2751
allsides,allsides_violence_in_america_c_4,simple,ok,,2904
allsides,allsides_violence_in_america_c_4,vanilla,ok,,3222
allsides,allsides_violence_in_america_c_5,cot_fewshot_mft,no_summary,,14136
allsides,allsides_violence_in_america_c_5,cot_fewshot,no_summary,,4346
allsides,allsides_violence_in_america_c_5,cot,ok,,5282
allsides,allsides_violence_in_america_c_5,oracle,ok,,1854
allsides,allsides_violence_in_america_c_5,simple_fewshot_mft,ok,,3865
allsides,allsides_violence_in_america_c_5,simple_fewshot,no_summary,,3340
allsides,allsides_violence_in_america_c_5,simple,ok,,2820
allsides,allsides_violence_in_america_c_5,vanilla,ok,,3089
allsides,allsides_violence_in_america_l_3,cot_fewshot_mft,ok,,3156
allsides,allsides_violence_in_america_l_3,cot_fewshot,ok,,3325
allsides,allsides_violence_in_america_l_3,cot,ok,,3081
allsides,allsides_violence_in_america_l_3,oracle,ok,,2719
allsides,allsides_violence_in_america_l_3,simple_fewshot_mft,ok,,3875
allsides,allsides_violence_in_america_l_3,simple_fewshot,ok,,2686
allsides,allsides_violence_in_america_l_3,simple,ok,,2788
allsides,allsides_violence_in_america_l_3,vanilla,ok,,2962
allsides,allsides_violence_in_america_r_3,cot_fewshot_mft,no_summary,,12061
allsides,allsides_violence_in_america_r_3,cot_fewshot,no_summary,,10897
allsides,allsides_violence_in_america_r_3,cot,no_summary,,12447
allsides,allsides_violence_in_america_r_3,oracle,ok,,2485
allsides,allsides_violence_in_america_r_3,simple_fewshot_mft,ok,,2831
allsides,allsides_violence_in_america_r_3,simple_fewshot,ok,,2456
allsides,allsides_violence_in_america_r_3,simple,ok,,2701
allsides,allsides_violence_in_america_r_3,vanilla,ok,,2297
allsides,allsides_white_house_l_3,cot_fewshot_mft,no_summary,,16453
allsides,allsides_white_house_l_3,cot_fewshot,no_summary,,12956
allsides,allsides_white_house_l_3,cot,ok,,5195
allsides,allsides_white_house_l_3,oracle,ok,,2944
allsides,allsides_white_house_l_3,simple_fewshot_mft,ok,,2685
allsides,allsides_white_house_l_3,simple_fewshot,ok,,2448
allsides,allsides_white_house_l_3,simple,ok,,2838
allsides,allsides_white_house_l_3,vanilla,ok,,2326
