dataset,article,strategy,summac
allsides,allsides_elections_c_2,cot_fewshot,0.2424
allsides,allsides_elections_c_2,cot_fewshot_mft,0.2609
allsides,allsides_elections_c_2,oracle,0.2498
allsides,allsides_elections_c_2,simple,0.2425
allsides,allsides_elections_c_2,simple_fewshot,0.2562
allsides,allsides_elections_c_2,simple_fewshot_mft,0.2573
allsides,allsides_elections_c_2,vanilla,0.2766
allsides,allsides_elections_c_3,cot,0.3037
allsides,allsides_elections_c_3,cot_fewshot,0.2659
allsides,allsides_elections_c_3,cot_fewshot_mft,0.3155
allsides,allsides_elections_c_3,oracle,0.2967
allsides,allsides_elections_c_3,simple,0.2708
allsides,allsides_elections_c_3,simple_fewshot,0.3748
allsides,allsides_elections_c_3,simple_fewshot_mft,0.3796
allsides,allsides_elections_c_3,vanilla,0.313
allsides,allsides_elections_c_4,cot,0.2555
allsides,allsides_elections_c_4,cot_fewshot,-1.0
allsides,allsides_elections_c_4,cot_fewshot_mft,-1.0
allsides,allsides_elections_c_4,oracle,0.239
allsides,allsides_elections_c_4,simple,0.3092
allsides,allsides_elections_c_4,simple_fewshot,0.3077
allsides,allsides_elections_c_4,simple_fewshot_mft,0.2514
allsides,allsides_elections_c_4,vanilla,0.2319
allsides,allsides_elections_c_5,cot,0.2571
allsides,allsides_elections_c_5,cot_fewshot,0.3715
allsides,allsides_elections_c_5,cot_fewshot_mft,0.2584
allsides,allsides_elections_c_5,oracle,0.3026
allsides,allsides_elections_c_5,simple,0.2597
allsides,allsides_elections_c_5,simple_fewshot,0.2553
allsides,allsides_elections_c_5,simple_fewshot_mft,0.2674
allsides,allsides_elections_c_5,vanilla,0.2561
allsides,allsides_elections_l_1,cot,0.2759
allsides,allsides_elections_l_1,cot_fewshot,0.3037
allsides,allsides_elections_l_1,cot_fewshot_mft,0.2747
allsides,allsides_elections_l_1,oracle,0.2798
allsides,allsides_elections_l_1,simple,0.2839
allsides,allsides_elections_l_1,simple_fewshot,0.264
allsides,allsides_elections_l_1,simple_fewshot_mft,0.3066
allsides,allsides_elections_l_1,vanilla,0.3182
allsides,allsides_elections_l_2,cot,0.2863
allsides,allsides_elections_l_2,cot_fewshot,0.267
allsides,allsides_elections_l_2,cot_fewshot_mft,0.2869
allsides,allsides_elections_l_2,oracle,0.3288
allsides,allsides_elections_l_2,simple,0.29
allsides,allsides_elections_l_2,simple_fewshot,0.2717
allsides,allsides_elections_l_2,simple_fewshot_mft,0.2669
allsides,allsides_elections_l_2,vanilla,0.2582
allsides,allsides_elections_l_3,cot,0.269
allsides,allsides_elections_l_3,cot_fewshot,0.2625
allsides,allsides_elections_l_3,cot_fewshot_mft,0.2524
allsides,allsides_elections_l_3,oracle,0.2751
allsides,allsides_elections_l_3,simple,0.2639
allsides,allsides_elections_l_3,simple_fewshot,0.2556
allsides,allsides_elections_l_3,simple_fewshot_mft,0.2671
allsides,allsides_elections_l_3,vanilla,0.2633
allsides,allsides_elections_l_4,cot,0.2806
allsides,allsides_elections_l_4,cot_fewshot,0.2951
allsides,allsides_elections_l_4,cot_fewshot_mft,0.2724
allsides,allsides_elections_l_4,oracle,0.273
allsides,allsides_elections_l_4,simple,0.2874
allsides,allsides_elections_l_4,simple_fewshot,0.2682
allsides,allsides_elections_l_4,simple_fewshot_mft,0.298
allsides,allsides_elections_l_4,vanilla,0.3072
allsides,allsides_elections_l_5,cot,0.303
allsides,allsides_elections_l_5,cot_fewshot,0.27
allsides,allsides_elections_l_5,cot_fewshot_mft,0.257
allsides,allsides_elections_l_5,oracle,0.2654
allsides,allsides_elections_l_5,simple,0.2692
allsides,allsides_elections_l_5,simple_fewshot,0.2608
allsides,allsides_elections_l_5,simple_fewshot_mft,0.2549
allsides,allsides_elections_l_5,vanilla,0.252
allsides,allsides_elections_r_1,cot,0.2791
allsides,allsides_elections_r_1,cot_fewshot,-1.0
allsides,allsides_elections_r_1,cot_fewshot_mft,-1.0
allsides,allsides_elections_r_1,oracle,0.2355
allsides,allsides_elections_r_1,simple,0.2352
allsides,allsides_elections_r_1,simple_fewshot,-1.0
allsides,allsides_elections_r_1,simple_fewshot_mft,-1.0
allsides,allsides_elections_r_1,vanilla,0.2536
allsides,allsides_elections_r_2,cot,0.3334
allsides,allsides_elections_r_2,cot_fewshot,0.3231
allsides,allsides_elections_r_2,cot_fewshot_mft,0.5459
allsides,allsides_elections_r_2,oracle,0.4336
allsides,allsides_elections_r_2,simple,0.361
allsides,allsides_elections_r_2,simple_fewshot,0.3117
allsides,allsides_elections_r_2,simple_fewshot_mft,0.2611
allsides,allsides_elections_r_2,vanilla,0.398
allsides,allsides_elections_r_3,cot,0.286
allsides,allsides_elections_r_3,cot_fewshot,0.2804
allsides,allsides_elections_r_3,cot_fewshot_mft,0.309
allsides,allsides_elections_r_3,oracle,0.3051
allsides,allsides_elections_r_3,simple,0.305
allsides,allsides_elections_r_3,simple_fewshot,0.3066
allsides,allsides_elections_r_3,simple_fewshot_mft,0.2794
allsides,allsides_elections_r_3,vanilla,0.2929
allsides,allsides_elections_r_4,cot,0.2785
allsides,allsides_elections_r_4,cot_fewshot,0.2697
allsides,allsides_elections_r_4,cot_fewshot_mft,0.3067
allsides,allsides_elections_r_4,oracle,0.3194
allsides,allsides_elections_r_4,simple,0.3038
allsides,allsides_elections_r_4,simple_fewshot,0.2736
allsides,allsides_elections_r_4,simple_fewshot_mft,0.2844
allsides,allsides_elections_r_4,vanilla,0.2826
allsides,allsides_elections_r_5,cot,0.2791
allsides,allsides_elections_r_5,cot_fewshot,0.2827
allsides,allsides_elections_r_5,cot_fewshot_mft,0.3113
allsides,allsides_elections_r_5,oracle,0.3156
allsides,allsides_elections_r_5,simple,0.2907
allsides,allsides_elections_r_5,simple_fewshot,0.2783
allsides,allsides_elections_r_5,simple_fewshot_mft,0.2778
allsides,allsides_elections_r_5,vanilla,0.2926
allsides,allsides_gun_control_and_gun_rights_c_1,cot,0.2508
allsides,allsides_gun_control_and_gun_rights_c_1,cot_fewshot,0.2662
allsides,allsides_gun_control_and_gun_rights_c_1,cot_fewshot_mft,0.2527
allsides,allsides_gun_control_and_gun_rights_c_1,oracle,0.2647
allsides,allsides_gun_control_and_gun_rights_c_1,simple,0.254
allsides,allsides_gun_control_and_gun_rights_c_1,simple_fewshot,0.2457
allsides,allsides_gun_control_and_gun_rights_c_1,simple_fewshot_mft,0.2496
allsides,allsides_gun_control_and_gun_rights_c_1,vanilla,0.2869
allsides,allsides_gun_control_and_gun_rights_c_2,cot,0.2429
allsides,allsides_gun_control_and_gun_rights_c_2,cot_fewshot,0.3173
allsides,allsides_gun_control_and_gun_rights_c_2,cot_fewshot_mft,0.2684
allsides,allsides_gun_control_and_gun_rights_c_2,oracle,0.2604
allsides,allsides_gun_control_and_gun_rights_c_2,simple,0.2896
allsides,allsides_gun_control_and_gun_rights_c_2,simple_fewshot,0.3106
allsides,allsides_gun_control_and_gun_rights_c_2,simple_fewshot_mft,0.2965
allsides,allsides_gun_control_and_gun_rights_c_2,vanilla,0.2666
allsides,allsides_gun_control_and_gun_rights_c_3,cot,0.2365
allsides,allsides_gun_control_and_gun_rights_c_3,cot_fewshot,0.4409
allsides,allsides_gun_control_and_gun_rights_c_3,cot_fewshot_mft,0.2637
allsides,allsides_gun_control_and_gun_rights_c_3,oracle,0.241
allsides,allsides_gun_control_and_gun_rights_c_3,simple,0.2551
allsides,allsides_gun_control_and_gun_rights_c_3,simple_fewshot,0.2302
allsides,allsides_gun_control_and_gun_rights_c_3,simple_fewshot_mft,0.2432
allsides,allsides_gun_control_and_gun_rights_c_3,vanilla,0.2608
allsides,allsides_gun_control_and_gun_rights_c_4,cot,0.2563
allsides,allsides_gun_control_and_gun_rights_c_4,cot_fewshot,-1.0
allsides,allsides_gun_control_and_gun_rights_c_4,cot_fewshot_mft,-1.0
allsides,allsides_gun_control_and_gun_rights_c_4,oracle,0.2832
allsides,allsides_gun_control_and_gun_rights_c_4,simple,0.2474
allsides,allsides_gun_control_and_gun_rights_c_4,simple_fewshot,-1.0
allsides,allsides_gun_control_and_gun_rights_c_4,simple_fewshot_mft,-1.0
allsides,allsides_gun_control_and_gun_rights_c_4,vanilla,0.4106
allsides,allsides_gun_control_and_gun_rights_c_5,cot,0.2499
allsides,allsides_gun_control_and_gun_rights_c_5,cot_fewshot,-1.0
allsides,allsides_gun_control_and_gun_rights_c_5,cot_fewshot_mft,-1.0
allsides,allsides_gun_control_and_gun_rights_c_5,oracle,0.2566
allsides,allsides_gun_control_and_gun_rights_c_5,simple,0.2408
allsides,allsides_gun_control_and_gun_rights_c_5,simple_fewshot,0.2657
allsides,allsides_gun_control_and_gun_rights_c_5,simple_fewshot_mft,-1.0
allsides,allsides_gun_control_and_gun_rights_c_5,vanilla,0.2417
allsides,allsides_gun_control_and_gun_rights_l_1,cot,0.2491
allsides,allsides_gun_control_and_gun_rights_l_1,cot_fewshot,0.2581
allsides,allsides_gun_control_and_gun_rights_l_1,cot_fewshot_mft,0.27
allsides,allsides_gun_control_and_gun_rights_l_1,oracle,0.2568
allsides,allsides_gun_control_and_gun_rights_l_1,simple,0.2464
allsides,allsides_gun_control_and_gun_rights_l_1,simple_fewshot,0.2621
allsides,allsides_gun_control_and_gun_rights_l_1,simple_fewshot_mft,0.2567
allsides,allsides_gun_control_and_gun_rights_l_1,vanilla,0.2514
allsides,allsides_gun_control_and_gun_rights_l_2,cot,0.2385
allsides,allsides_gun_control_and_gun_rights_l_2,cot_fewshot,0.2332
allsides,allsides_gun_control_and_gun_rights_l_2,cot_fewshot_mft,0.2312
allsides,allsides_gun_control_and_gun_rights_l_2,oracle,0.2357
allsides,allsides_gun_control_and_gun_rights_l_2,simple,0.2451
allsides,allsides_gun_control_and_gun_rights_l_2,simple_fewshot,0.2329
allsides,allsides_gun_control_and_gun_rights_l_2,simple_fewshot_mft,0.239
allsides,allsides_gun_control_and_gun_rights_l_2,vanilla,0.3349
allsides,allsides_gun_control_and_gun_rights_l_3,cot,0.5136
allsides,allsides_gun_control_and_gun_rights_l_3,cot_fewshot,-1.0
allsides,allsides_gun_control_and_gun_rights_l_3,cot_fewshot_mft,-1.0
allsides,allsides_gun_control_and_gun_rights_l_3,oracle,0.4089
allsides,allsides_gun_control_and_gun_rights_l_3,simple,0.2994
allsides,allsides_gun_control_and_gun_rights_l_3,simple_fewshot,0.3128
allsides,allsides_gun_control_and_gun_rights_l_3,simple_fewshot_mft,-1.0
allsides,allsides_gun_control_and_gun_rights_l_3,vanilla,0.3308
allsides,allsides_gun_control_and_gun_rights_l_4,cot,0.2671
allsides,allsides_gun_control_and_gun_rights_l_4,cot_fewshot,0.2831
allsides,allsides_gun_control_and_gun_rights_l_4,cot_fewshot_mft,0.2641
allsides,allsides_gun_control_and_gun_rights_l_4,oracle,0.2519
allsides,allsides_gun_control_and_gun_rights_l_4,simple,0.26
allsides,allsides_gun_control_and_gun_rights_l_4,simple_fewshot,0.2508
allsides,allsides_gun_control_and_gun_rights_l_4,simple_fewshot_mft,0.2679
allsides,allsides_gun_control_and_gun_rights_l_4,vanilla,0.2863
allsides,allsides_gun_control_and_gun_rights_l_5,cot,0.2456
allsides,allsides_gun_control_and_gun_rights_l_5,cot_fewshot,0.2395
allsides,allsides_gun_control_and_gun_rights_l_5,cot_fewshot_mft,0.2315
allsides,allsides_gun_control_and_gun_rights_l_5,oracle,0.2359
allsides,allsides_gun_control_and_gun_rights_l_5,simple,0.2669
allsides,allsides_gun_control_and_gun_rights_l_5,simple_fewshot,0.2461
allsides,allsides_gun_control_and_gun_rights_l_5,simple_fewshot_mft,0.2315
allsides,allsides_gun_control_and_gun_rights_l_5,vanilla,0.2418
allsides,allsides_gun_control_and_gun_rights_r_1,cot,0.2366
allsides,allsides_gun_control_and_gun_rights_r_1,cot_fewshot,-1.0
allsides,allsides_gun_control_and_gun_rights_r_1,cot_fewshot_mft,0.3009
allsides,allsides_gun_control_and_gun_rights_r_1,oracle,0.2512
allsides,allsides_gun_control_and_gun_rights_r_1,simple,0.2443
allsides,allsides_gun_control_and_gun_rights_r_1,simple_fewshot,0.2344
allsides,allsides_gun_control_and_gun_rights_r_1,simple_fewshot_mft,0.2409
allsides,allsides_gun_control_and_gun_rights_r_1,vanilla,0.3196
allsides,allsides_gun_control_and_gun_rights_r_2,cot,0.2724
allsides,allsides_gun_control_and_gun_rights_r_2,cot_fewshot,0.2552
allsides,allsides_gun_control_and_gun_rights_r_2,cot_fewshot_mft,0.3034
allsides,allsides_gun_control_and_gun_rights_r_2,oracle,0.263
allsides,allsides_gun_control_and_gun_rights_r_2,simple,0.2665
allsides,allsides_gun_control_and_gun_rights_r_2,simple_fewshot,0.2681
allsides,allsides_gun_control_and_gun_rights_r_2,simple_fewshot_mft,0.2766
allsides,allsides_gun_control_and_gun_rights_r_2,vanilla,0.2581
allsides,allsides_gun_control_and_gun_rights_r_3,cot,0.3206
allsides,allsides_gun_control_and_gun_rights_r_3,cot_fewshot,0.2701
allsides,allsides_gun_control_and_gun_rights_r_3,cot_fewshot_mft,0.2651
allsides,allsides_gun_control_and_gun_rights_r_3,oracle,0.275
allsides,allsides_gun_control_and_gun_rights_r_3,simple,0.2673
allsides,allsides_gun_control_and_gun_rights_r_3,simple_fewshot,0.2683
allsides,allsides_gun_control_and_gun_rights_r_3,simple_fewshot_mft,0.2644
allsides,allsides_gun_control_and_gun_rights_r_3,vanilla,0.332
allsides,allsides_gun_control_and_gun_rights_r_4,cot,0.3081
allsides,allsides_gun_control_and_gun_rights_r_4,cot_fewshot,0.2395
allsides,allsides_gun_control_and_gun_rights_r_4,cot_fewshot_mft,0.2549
